group,n,mean_plddt,mean_oracle,mean_mahal,mean_glp_resid
sol_easy_L17_a10_GLP_u0.1,100,0.3537783432006836,0.41597512111999996,562.8083178710938,124.18948692321777
sol_easy_L17_a0_GLP_u0.01,100,0.3486681294441223,0.366638210914,566.1775793457032,124.74321243286133
sol_easy_L17_a2_GLP_u0.1,100,0.3541489377617836,0.36175666816,567.6253863525391,124.56049789428711
sol_easy_L17_a10_GLPmask_u0.1,100,0.35520640075206755,0.42009437991299997,578.2940182495117,124.68296226501465
sol_easy_L17_a1_GLP_u0.1,100,0.3586161556839943,0.34817656188999996,582.5581976318359,125.44666801452637
sol_easy_L17_a2_GLPmask_u0.1,100,0.36527565121650696,0.28104493152,588.1292855834961,127.60801712036132
sol_easy_L17_a3_GLP_u0.1,100,0.357012984752655,0.37032558432999996,594.3256158447266,125.26941040039063
sol_easy_L17_a5_GLPmask_u0.1,100,0.35837918788194656,0.321964254204,595.8635992431641,126.77992492675781
sol_easy_L17_a10_GLP_u0.8,100,0.3481670880317688,0.285137541552,598.2653991699219,126.40438819885254
sol_easy_L17_a5_GLP_u0.1,100,0.3591726565361023,0.38753249159,599.6038934326172,125.79584144592285
sol_easy_L17_a3_GLPmask_u0.1,100,0.35448611825704573,0.31966071092,606.3705657958984,127.72664070129395
sol_easy_L17_a1_GLPmask_u0.1,100,0.361728355884552,0.263210437412,615.9738528442383,129.20391769409179
sol_easy_L17_a10_GLPmask_u0.7,100,0.3337392807006836,0.27929468416,617.2856100463868,128.0681286621094
sol_easy_L17_a10,100,0.3464346766471863,0.21523489982000002,618.6514410400391,127.3955648803711
sol_easy_L17_a10_GLPmask_u0.8,100,0.3425055381655693,0.309250974463,622.2638543701172,128.24305801391603
sol_easy_L17_a10_GLP_u0.7,100,0.35226957619190213,0.294154398268,622.4533273315429,126.56951721191406
sol_easy_L17_a10_GLP_u0.9,100,0.34288213312625887,0.250577808187,626.9864990234375,128.10121055603028
sol_easy_L17_a10_GLPmask_u0.9,100,0.34088706731796264,0.236695678319,629.5039291381836,128.2745196533203
sol_easy_L17_a10_GLP_u1.0,100,0.3456446543335915,0.224161445167,629.9168069458008,127.97679168701171
sol_easy_L17_a2_GLP_u0.3,100,0.3440294539928436,0.28739361852399997,630.8985372924805,126.64592498779297
sol_easy_allL_a1_L17GLPmask_u0.1,100,0.36270968705415724,0.56107416866,641.1373428344726,125.16523498535156
sol_easy_L17_a10_GLPmask_u0.3,100,0.35237554848194125,0.461210972891,649.3052069091797,127.81617538452149
sol_easy_L17_a1_GLP_u0.3,100,0.3462664103507996,0.28953659724,649.3759887695312,128.01839210510255
sol_easy_L17_a3_GLP_u0.3,100,0.35390163376927375,0.31122837317,661.1822845458985,127.97151504516602
sol_easy_L17_a10_GLPmask_u0.5,100,0.3503590357303619,0.421900664657,667.5125283813477,129.27909858703615
sol_easy_allL_a1,100,0.3336410367488861,0.356873878247,693.8031259155273,127.57189674377442
sol_easy_allL_a1_L17GLPmask_u0.9,100,0.3338084536790848,0.41627625226,696.4895370483398,128.19479438781738
sol_easy_L17post_a1,100,0.330442411005497,0.320004860433,700.2889584350586,128.72122741699218
sol_easy_L17_a5_GLP_u0.3,100,0.3477474330365658,0.38501901697999996,700.961753540039,128.872904586792
sol_easy_allL_a1_L17GLP_u0.9,100,0.34046709328889846,0.41297604045,704.48373046875,128.12259002685548
sol_easy_L17_a5_GLPmask_u0.3,100,0.3575978091359138,0.305361631099,710.589020690918,132.75351707458495
sol_easy_L17_a5_GLP_u0.5,100,0.35887241929769514,0.27505448113340003,716.2490393066406,133.3204972076416
