mahal_bin,n,mahal_lo,mahal_hi,mean_plddt,mean_oracle
"(319.247, 538.473]",1390,319.24798583984375,538.467529296875,0.3519052787650403,0.32973178846098977
"(538.473, 706.741]",2085,538.4739990234375,706.6671752929688,0.35859548974094346,0.3868394953481858
"(706.741, 935.747]",3475,706.7657470703125,935.7440795898438,0.43640075855546717,0.5560344088635492
"(935.747, 1148.831]",3475,935.749267578125,1148.829345703125,0.5287983428188365,0.5873805265194297
"(1148.831, 1366.63]",2085,1148.835205078125,1366.62890625,0.6073418278345387,0.42368682887718867
"(1366.63, 2142.583]",1390,1366.642578125,2142.582763671875,0.6655391647661333,0.4357262615944482
